Event,Type
One Week Away! Participate in Developer Week: One of the world’s largest expo  for coding,Coding Expos
DeveloperWeek Hackathon: code and win in our coding Hackathons,Coding Hackathons
"DevExec World, new this year, is a two day coding expo where coding enthusiasts and programmers come together to talk about coding and all things code",Coding Expos
"Join us at SuperConf. SuperConf a Festival for makers! Programmers, coders and anyone else",Coding Fests
"Facebook F8 is  festival for developers, programmers, coders, coding enthusiasts in every field",Coding Fests
The Exec Worldwide Coding Expo is Apple’s largest event for programmers and coders,Coding Expos
Attend our host of programming and coding fairs and Expos,Coding Expos
Register for the GameWEEK coding expo and get some special goodies,Coding Expos
DevWeek Coding Fest Registrations open!,Coding Fests
Calling all programmers and coders. Come down to the coding Festival today,Coding Fests
Get Certified as a A-Grade Programmer today with our various coding certifications!,Coding Certifications
Take A Coding Cetification Course Today and Stand out from the rest!,Coding Certifications
Become a certified coding master with our programming certification course,Coding Certifications
Coding certifications up for grabs,Coding Certifications
Talks and Speeches: Two hour talk on coding and its usefulness,Coding Talks
Attend a talk on the benefits of coding from a young age,Coding Talks
Coding Talk: Attend a Speech given by the topmost authority in Programming ,Coding Talks
Only One Week Left! Join us for a Talk on How to be A Better Programmer and how to code better,Coding Talks
Think you know your coding? Participate in the DevWeek Coding Quiz!,Coding Competitions
Participate in the CodeTrain Software Development Quiz and stand a chance to win a cash prize!,Coding Competitions
Compete against other developers and test your skills,Coding Competitions
Coding Competion Alert! Join to find out more,Coding Competitions
Join the Google AI Hackathon and develop solutions for real life problems,Artificial Intelligence Hackathons
Artificial Intelligence Hackathon By CodeBay. Two Days Left!,Artificial Intelligence Hackathons
Annual artificial intelligence codeathon out now,Artificial Intelligence Hackathons
Codeathons and hackathons: Nvidia Artificial intelligence hackathon out today,Artificial Intelligence Hackathons
AI hackathons: Join our ai hackathon. Register now,Artificial Intelligence Hackathons
Sign-up now! Indepth Webinar on High Level Understanding of Artificial Intelligence,Artificial Intelligence Webinars
Webinars: Live online webinar on AI and its uses,Artificial Intelligence Webinars
Join us for an online webinar and learn why we should learn artificial intelligence,Artificial Intelligence Webinars
Why AI? Attend our webinar to find out,Artificial Intelligence Webinars
AI Webinars: Artificial Intelligence pathways and how to start your AI journey,Artificial Intelligence Webinars
Annual AI Festival of NZ is finally here!,Artificial Intelligence Fests
Fests: join us at the artificial intelligence festival of Penumbra and win some exciting goodies,Artificial Intelligence Fests
Attend one of our many ai festivals this month,Artificial Intelligence Fests
Only 6 Days Left for the largest Artificial Intelligence festival in India,Artificial Intelligence Fests
Apply Now to book your ticket for the SuperCode AI fest,Artificial Intelligence Fests
Seminars and Conferences: the EC committee Artificial intelligence seminar is here,Artificial Intelligence Seminars
Special perks on signing up early for the AI conference galore,Artificial Intelligence Seminars
join either our AI conference or seminar tomorrow and earn some coupons,Artificial Intelligence Seminars
Early Bird discount for the Facebook Artificial Intelligence Conference,Artificial Intelligence Seminars
Expos and more: The AI Expo is here!,Artificial Intelligence Expos
Join the Artificial intelligence expo and level up today,Artificial Intelligence Expos
Attend our artificial intelligence expo and gain an insight into how AI is used in your day to day life,Artificial Intelligence Expos
Register for any one of our artificial intelligence expos today!,Artificial Intelligence Expos
AIBytes Artificial Intelligence Expo beginning next month. Book Now!,Artificial Intelligence Expos
Learn about the Latest Happenings in artifical intelligence by joining this all in one seminar.,Artificial Intelligence Seminars
Join India's largest AI Expo Today!,Artificial Intelligence Expos
Webinar on misconceptions of AI next week. Apply Now!,Artificial Intelligence Webinars
WorkSuper AI training bootcamp is here,Artificial Intelligence Trainings
Sign up for any one of our artificial intelligence certificates today and get recognized,Artificial Intelligence Certifications
AI Certifications and more. Sign up to the ColPond Artificial Intelligence Certification today today,Artificial Intelligence Certifications
Get Certified as a professional at artificial Intelligence with our AI certification today,Artificial Intelligence Certifications
Get an internationally recognised certification in AI. Join today!,Artificial Intelligence Certifications
Apply Now to get an e-certificate on artificial intelligence to show on your resume,Artificial Intelligence Certifications
AI Bootcamp alert! The Artificial intelligence training bootcamp is out today,Artificial Intelligence Trainings
the comprehensive artificial intelligence training bootcamp is out now,Artificial Intelligence Trainings
Trainings: Sign up for our host of AI related bootcamps today,Artificial Intelligence Trainings
Join us for a 3 day AI training-camp and make yourself stand out from the rest,Artificial Intelligence Trainings
3 month Artificial Intelligence Training to help build your skills,Artificial Intelligence Trainings
Artificial Intelligence is the next big thing in Programming. Join our A.I. course to add it to your skillset.,Artificial Intelligence Courses
Only 7 Days Left! Sign Up for the TSEC Artificial Intelligence Course,Artificial Intelligence Courses
"If you want to break into AI, this Specialization will help you do so.",Artificial Intelligence Courses
Join Avanse and show your artificial intelligence skills during your artificial intelligence job,Artificial Intelligence Jobs
AI developer job opportunity at AIBOTS,Artificial Intelligence Jobs
Artificial intelligence job openings: AI full time position at jalag enterprises,Artificial Intelligence Jobs
Job Opportunity Alert! Full Time Artificial Intelligence Specialist Position Available at Cloud Counselage,Artificial Intelligence Jobs
Artificial Intelligence (AI) Internship in Sathupally at RuralFolks,Artificial Intelligence Internships
Artificial Intelligence work from home internship at IoTIoT in,Artificial Intelligence Internships
Artficial intelligence is the way of the future: speech by a leading AI researcher,Artificial Intelligence Talks
Artificial Intelligence talks and speeches: talk on how to be a budding AI enthusiast,Artificial Intelligence Talks
Roy Lenders: Are You Ready for Artificial Intelligence| TEDx Talk,Artificial Intelligence Talks
"How AI can Enhance our Memory, Work and Social Lives – Talk by Tom Gruber",Artificial Intelligence Talks
How AI can save Humanity: Speech by Kai-Fu Lee,Artificial Intelligence Talks
Live Online webinar on the benefits of python,Python Webinars
Webinars: Attend a webinar on the ways python can be used to brighten up our lives,Python Webinars
Intel Webinar on Parallel Python,Python Webinars
Edureka Python Webinar | Python Programming For Beginners,Python Webinars
Webinar on Python NumPy Tutorial tomorrow,Python Webinars
Hackathons and Codeathons: Welcome to the best python hackathon in the world,Python Hackathons
Arrange your own python hackathon,Python Hackathons
Hackathons and codeathons: Python codeathon is out now,Python Hackathons
Welcome to Intel Python Hackfury 2020 Hackathon,Python Hackathons
Annual PyBites Hackathon Registrations Open Now,Python Hackathons
This year our hackathon theme is about ‘Innovation in Artificial Intelligence using Intel,Artificial Intelligence Hackathons
Up your Python game by participating in a hackathon,Python Hackathons
Python Hackathon at trivago,Python Hackathons
PyBytes python Fest is out now,Python Fests
Fests and more: Python enjoy festival is here,Python Fests
Arrange your own python fest,Python Fests
Coming Soon! F6S Python Festival 2020,Python Fests
Join the Python Fest of Joy| Algeria 2021,Python Fests
Job openings: Multiple python job portfolios availaible,Python Jobs
Python job available,Python Jobs
Job alert! Junior Python Developer Position via linkedin,Python Jobs
 TrueACloud Computing ord Job Opening: Senior Python Engineer,Python Jobs
Full Time Position: Python Specialist Job,Python Jobs
Bootcamps and Trainings: The python training week is here,Python Trainings
Sign up for our python bootcamp today,Python Trainings
Python bootcamp begins tomorrow - Trainings and bootcamps,Python Trainings
2020 Complete Python Bootcamp: From Zero to Hero in Python,Python Trainings
OpenEDG Python Institute presents a complete One Week Python Training,Python Trainings
Part time internship available - Internships and more,Python Internships
Become an intern with us through our python internship selection,Python Internships
Python Development Internship at NewFangled Vision Private Limited,Python Internships
Compete and enjoy our python themed competition,Python Competitions
Python Programming Challenge – First to Five,Python Competitions
PyWeek games python programming contest competition,Python Competitions
Project Euler Annual Python Challenge Starting Soon!,Python Competitions
Seminars and conferences: join the python brilliance seminar today,Python Seminars
Python 2020 conference is out now,Python Seminars
"Welcome to EuroPython 2020 Online, the largest Python conference in Europe",Python Seminars
Kiwi PyCon: New Zeland's largest python seminar,Python Seminars
"PyCon is a conference for the Python community, organized by members of the Python community. ",Python Seminars
Expos and Fairs: Python annual expo is here,Python Expos
Attend a python expo in your home town,Python Expos
Tickets on Sale! Join PyBytes Python Convention/ Expo now!,Python Expos
SciPy Python Expo only one week away!,Python Expos
India's largest Python Expo beginning soon!,Python Expos
Talks and Speeches: Python talk today,Python Talks
Attend a speech on python,Python Talks
"Learn to Program and Analyze Data with Python  Develop programs to gather, clean, analyze, and visualize data with our course",Python Courses
Crash Course on Python by Google,Python Courses
Python Programming: A Concise Introduction Course,Python Courses
Introduction to Python - Course by Coursera,Python Courses
Certifications: Python certificate by udacity,Python Certifications
become certified in python today with the python certification! Get a certificate to show off,Python Certifications
Get your python expert certificate from Udemy Today!,Python Certifications
Show off your Python skills with the complete Python certificate!,Python Certifications
Sign up for a Certified Associate in Python Programming certification!,Python Certifications
Python Workshop in your home city,Python Workshops
Attend a free python workshop,Python Workshops
PyStore Python Workshop tickets out now!,Python Workshops
Hone your Python skills with this all-in-one workshop,Python Workshops
Add python to your list of skills by joining our workshop today!,Python Workshops
FinTech Hackathon promotes the development of financial technology for consumers and institutional customers. - Finance and banking,Finance Hackathons
BANKING AND FINANCIAL SERVICES INDUSTRY Hackathon Registrations open tomorrow,Finance Hackathons
Fino Finance Hackathon Out Now!,Finance Hackathons
Hackathon - Finance and banking - Book now,Finance Hackathons
Free Webinar On Financial Markets,Finance Webinars
Webinar: Islamic Finance Instruments for Economic Recovery,Finance Webinars
Upcoming Speech :Tactics APAC Finance Leaders Can Use to Guide Their Organizations in Challenging Times,Finance Talks
Talk on How Investments can change your Financial Descisions,Finance Talks
THE FINANCE FEST - 2020 Dates announced,Finance Fests
CFA Institute Finance Festival tickets out now!,Finance Fests
Join India's biggest Finance Fest today,Finance Fests
Finance and investment festival by NSE,Finance Fests
Imarticus - Finance and Investment Courses available,Finance Courses
e-Learning course on Railway Financing,Finance Courses
"China's financial markets: Banks, Bonds, investments and Equities. Learn all this and more in this Finance course",Finance Courses
Mathematical Methods for Quantitative Finance - Course by eDX,Finance Courses
An introductory course into investments and finance,Finance Courses
Get a certification on Corporate Finance today!,Finance Certifications
Become Certified in ACloud Computing ounting and Finance by NSE today,Finance Certifications
Investment and financing: A certification by IMDB Bank,Finance Certifications
Bolster your resume with this Finance Certificate,Finance Certifications
Get an internationally recognized certificate in Finance and trading. Join now,Finance Certifications
Townscript Finance and Investment Conference - Mumbai - 2020,Finance Seminars
2018 Finance and banking seminar,Finance Seminars
Attend India's first Financial Banking Seminar. Book your tickets now!,Finance Seminars
1mg Investment and banking seminar 2020 begins tomorrow,Finance Seminars
Spend your weekend at our International Finance conference,Finance Seminars
Financial Analyst Job Opening at P&G,Finance Jobs
Job Alert! Join XL Dynamics' Elite Team of Financial Analysts - Interview @ Home,Finance Jobs
Urgent Full Time Opening - Personal Banker-Mumbai-Equitas Small Finance Bank,Finance Jobs
Financial Reporting Job ( Full Time ) - CA Fresher,Finance Jobs
Job Opportunity: Full Time EBS Sr. Finance Functional Consultant,Finance Jobs
Part Time Academic Writer For Finance Subject- Derivatives Expert,Finance Internships
Internship Opportunity : Finance and Banking Consultant,Finance Internships
Part Time Opportunity as a Finance Intern,Finance Internships
Financial and Investment Consultant - Summer Internship,Finance Internships
Banking and finance interns needed: Internship alert!,Finance Internships
"Part time Finance, trading and banking internships available via naukri.com",Finance Internships
Join our workshop and learn about all things Finance!,Finance Workshops
Intimidated by fincance and investment banking? Join our workshop and learn these and many more concepts,Finance Workshops
Build ANDROID AND IOS applications in India's biggest hackathon till date,Mobile Applications Hackathons
the Apple ios worldwide hackathon,Mobile Applications Hackathons
google android hackathon showcase!,Mobile Applications Hackathons
build mobile applications in android and ios in this mobile app hackahon today!,Mobile Applications Hackathons
Mobile App Development Series: webinars on the world of mobile application development on popular platforms like Android and iOS,Mobile Applications Webinars
Build iphone applications in this live online session,Mobile Applications Webinars
Webinar - The future of mobile apps,Mobile Applications Webinars
WEBINAR RSVP: Build stunning apps for android and ios,Mobile Applications Webinars
build your own Mobile Application with this webinar,Mobile Applications Webinars
Android app development - A Comprehensive Webinar,Mobile Applications Webinars
Webinar Series : IOS Applications and how to build your own ios app,Mobile Applications Webinars
2020 Mobile Application Dev Fest out Now,Mobile Applications Fests
GOOGLE ANNOUNCES MOBILE DEVELOPER FEST,Mobile Applications Fests
Devfest Android festival 2020,Mobile Applications Fests
Apple IOS celebration festival beginning soon. Book your tickets too,Mobile Applications Fests
"Interested in Mobile Apps? Be it development or usage, android or IOS, we got you covered at our fest!",Mobile Applications Fests
The worlds largest Mobile application fest is here( android and ios users welcome ).Book now,Mobile Applications Fests
Get an Associate Android Developer certification,Mobile Applications Certifications
get Certified as a Specialist in iOS Application Development,Mobile Applications Certifications
Mobile application certificates available via naukri.com,Mobile Applications Certifications
Multiple e-certificates related to android and ios. Avail now!,Mobile Applications Certifications
Get e-certificates and physical certificates in mobile app development,Mobile Applications Certifications
Get certified as a mobile application tester and stand out from the rest!,Mobile Applications Certifications
Mobile World Conference 2020. Registrations open soon!,Mobile Applications Seminars
Mobile Applications Unlocked: Asia's largest seminar and summit,Mobile Applications Seminars
Google announces the annual Android conference.,Mobile Applications Seminars
Seminar alert! Apple IOS summit registrations open soon,Mobile Applications Seminars
Join the world's biggest and most famous mobile application seminar,Mobile Applications Seminars
Apps and more! Join the TechNO world mobile app conference,Mobile Applications Seminars
We've got everything for the mobile enthusiast in you! Learn about the latest in mobile app technology and development at the MOB seminar,Mobile Applications Seminars
The complete IOS course ! Sign up now!,Mobile Applications Courses
Multiple mobile application related courses available on coursera!,Mobile Applications Courses
Signup for our comprehensive Android and IOS Courses - Mobile app series,Mobile Applications Courses
"Unock the power of mobile applications in our "" Apps of the world "" courses",Mobile Applications Courses
"Want to learn how to effectively use your mobile phone? Learn about apps, their usage and many more in this course catered towards the technologically uneducated.",Mobile Applications Courses
Join India's largest Mobile Application Expo Today!,Mobile Applications Expos
Come down o our Android expo and learn about everythin android,Mobile Applications Expos
Love IOS and apple ? Come down to our expo to explore all things IOS ,Mobile Applications Expos
Reignite your love for mobile apps by coming down to the MobApp Annual Expo!,Mobile Applications Expos
Learn about the latest developments in the world of mobile apps at the Worlds only mobile reveal expo!,Mobile Applications Expos
The world of apps on android and ios is expanding every single day. Catch up to the world of apps on these platforms in our exciting new Expo !,Mobile Applications Expos
Full time mobile app developer job at Dwarka!,Mobile Applications Jobs
Work as a mobile application designer at Freelance! Apply Today,Mobile Applications Jobs
Job Opportunity: Full time Android excecutive at a reputed company,Mobile Applications Jobs
Work as a senior IOS Manager at Apple!,Mobile Applications Jobs
Job Alert! Both android and IOS development postions available,Mobile Applications Jobs
Work from home and office choices available for mobile app process amanger at Google,Mobile Applications Jobs
Join Purplehat for our 2 week android and IOS bootcamps today!,Mobile Applications Trainings
Mobile App Series: One month Mobile application dev training,Mobile Applications Trainings
Don’t waste your vacations. Use it wisely by joining our bootcamp on mobile application managing ( both android and ios ),Mobile Applications Trainings
Training Series: Know your way around a mobile application and learn the in-depth working of your favourite apps,Mobile Applications Trainings
Train yourself to be a better android and ios developer by aCloud Computing essing this FREE bootcamp!,Mobile Applications Trainings
Train your mind to be more comfortable with mobile applications,Mobile Applications Trainings
Part time position as a mobile application executive,Mobile Applications Internships
Internship Opportunity : Interns Needed for Mobile App Development ( Android / IOS),Mobile Applications Internships
Part Time Summer Internship opportunity as an android application development,Mobile Applications Internships
IOS engineer intern required. Stipend Provided!,Mobile Applications Internships
Comprehensive Mobile app development workshop,Mobile Applications Workshops
Want to learn about the inner workings of android and ios applications? Join now for our world famous Workshops,Mobile Applications Workshops
A host of mobile application related workshops via Work4Me this month!,Mobile Applications Workshops
A hand's on workshop on the history of mobile apps and their development,Mobile Applications Workshops
Mobile App Development Lifecycle 101 - A workshop by technotalk,Mobile Applications Workshops
Android Application Development Workshop for Engineering,Mobile Applications Workshops
A complete Basic to Advanced workshop on IOS,Mobile Applications Workshops
Hackathon - Core C++ 2020,C++ Hackathons
CodeQuest 2019 by CodeChef: C++ Hackathon,C++ Hackathons
Rockwell Automation C++ Challenge,C++ Hackathons
Challenge Rocket 2020 C++ Hackathon. Think you can compete? Then sign up now,C++ Hackathons
Hackathon: Coda Global c++ Challenge,C++ Hackathons
Join The ThoughtWorks C++ Hackathon and stand the chance to win a significant cash prize,C++ Hackathons
Webinar: Getting Started with C++ in Embedded Systems,C++ Webinars
Webinar 030: Modern C++ for High-Performance Computing,C++ Webinars
[Webinar: Part 1 of 3] Introduction to C/C++ Package Management with Conan,C++ Webinars
Free webinar: Getting started with C++ in embedded systems,C++ Webinars
Webinar Replay: C++ Software Security Sins,C++ Webinars
Live Online Session on the Do's and Dont's of C++,C++ Webinars
Join us online as we take you through the future of C++ and its alternatives,C++ Webinars
3 Day C++ Festival by CodeBoost. Sign up Now,C++ Fests
This Weekend Join Many Other Avid C++ Enthusiasts at our weekend Fest,C++ Fests
Calling all C++ Enthusiasts! Be part of our Festival and have a chance to win multiple prizes.,C++ Fests
Motera Annual C++ Festival is here!,C++ Fests
Sign-up and get exlusive entry and perks to the HackRank Festival for Enthusiats of C++ and ther languages.,C++ Fests
CPA – C++ Certified Associate Programmer Certification,C++ Certifications
Register for a C++ Professional Programmer certfication,C++ Certifications
Get a Basic Chef Fluency C++ e-certificate,C++ Certifications
Opportunity to bag multiple C++ related certifications. Join now!,C++ Certifications
Get Certified as C++ Programmer with these c++ certificates,C++ Certifications
Multiple C++ certificates available for grabs at Chub,C++ Certifications
Open C++ Seminars: Multithreading with modern C++,C++ Seminars
Single- and double session Advanced C++ Seminars,C++ Seminars
Introduction to C++ Programming | A Comprehensive Conference,C++ Seminars
CpPlus C++ Conference tickets out now!,C++ Seminars
Join A comprehesive Conference on the future of C++ as part of our seminar series,C++ Seminars
Learn C++ with CodeAcademy's intoductory Course,C++ Courses
Learn Advanced C++ Programming,C++ Courses
Sign up for Top C++ courses via udemy,C++ Courses
Programming Course: C++ programming step by step from beginner to advance level.,C++ Courses
The modern C++ course by Udacity is out now! Sign Up today for a special discount,C++ Courses
DevC C++ Expo beginning in 1 Week,C++ Expos
The Mumbai Annual C++ Fair begins tomorrow,C++ Expos
Experience C++ and much more at the CodeShastra C++ Design Expo,C++ Expos
Expos & Fairs : Love Programming? Are you a Fan of C++? Then join us at the C++ Dev Expo ,C++ Expos
Attend the week long c++ fair in New York and experience the world's third most popular programming language today!,C++ Expos
Full Time C++ Developer position at Orbo.in,C++ Jobs
Senior Software Engineer Job - C++,C++ Jobs
Lead C++ Developer : Full Time job opportunity,C++ Jobs
Both senior and junior c++ development jobs available at Orkut Inc,C++ Jobs
Job Alert! Full Time C++ Software developer Position,C++ Jobs
Work from home and office jobs available at naukri.com,C++ Jobs
Work at your dream c++ job today!,C++ Jobs
Training on C++ Programming for non C programmers,C++ Trainings
Advanced C++ Programming training,C++ Trainings
Learn C++ through this extensive training,C++ Trainings
Multiple C++ trainings available. Sign up now to avail,C++ Trainings
"Beginner, Intermediate and advanced C++ Trainings for sale. Join Now",C++ Trainings
Part time work from home C++ developer internship available,C++ Internships
C++ Excecutive internship opportunity at Gaia enterprises,C++ Internships
Multiple C++ Summer and winter Part time internships available at Cloud Computing ,C++ Internships
Become a c++ intern at Microsoft and stand out from your peers,C++ Internships
C++ Interns required! Work From Home internships available at AKSHI pvt ltd,C++ Internships
Pit yourself against other C++ enthusiasts in our host of C++ Competitions,C++ Competitions
Quizzes and other C++ competitions this week!,C++ Competitions
Love C++ ? Compete in our annual C++ Competion,C++ Competitions
Participate in the comprehensive C++ Quiz and stand a chance to win huge cash prizes,C++ Competitions
"Don’t waste your vacations, compete in our plethora of competitions today!",C++ Competitions
Speeches and Talks : The Impact of C++ on the world of Programing,C++ Talks
Harness the Power of C++ with our playlist of Talks,C++ Talks
Listen to speeches by the most Prominent C++ Enthusiasts today!,C++ Talks
Discover things you never knew in this C++ Talk by Dr. Bon Homie,C++ Talks
Prominent Speakers: Talk on negative c++ practises by Sasha Cohen,C++ Talks
Talk on the History of C++ by speakers : Lindsey Mod and Anupam Kotak,C++ Talks
Join our workshop and improve your C++ Skills,C++ Workshops
C++ Bootcamp by CodeBoot,C++ Workshops
Bootcamps and Workshops : C++ For game Development ,C++ Workshops
Adaboost C++ Workshop registrations open,C++ Workshops
Go from beginner to advance in our C++ bootcamp,C++ Workshops
CodaChef C Codathon is live now!,C Hackathons
Hackathons & Codeathons: Objective C,C Hackathons
Participate in the C language hackathon and stand the chance to win cash prizes,C Hackathons
Participate in the worlds most prestigious hackathon with themes ranging from C to many more,C Hackathons
"To C or Not to C, That is the question. Participate in our C hackathon today!",C Hackathons
Webinar Series: Live Online Session on the Advantages of C,C Webinars
Join Us for a Live Webinar on C programming and how to excel at it!,C Webinars
Participate in our Webinar Series and excel in C,C Webinars
Live Online Sessions on C Programming and its advantages,C Webinars
Code Effectively in C - Webinar,C Webinars
The Annual C Festival by InstituteC is out now! Book your tickets ASAP,C Fests
Stay Tuned for the largest Fest dedicated to the C programming Language,C Fests
Buy your tickets for the CodeBase C Fest today!,C Fests
Festival Alert!! The C Shastra Fest is coming this year,C Fests
Join Now! The C LANGUAGE FEST IS COMING SOON,C Fests
CLA – C Programming Language Certified Associate Certification,C Certifications
Get Certified as C Professional Developer today!,C Certifications
Get your own C Certified Entry-Level Programmer Certification,C Certifications
Many C certifications and e-certifications up for grabs by the CodeKings,C Certifications
Get internationally certified as an expert in the C programming Language,C Certifications
Join the C Developer Conference happening Tomorrow!,C Seminars
Seminar - Objective C and Its uses,C Seminars
To C or Not to C  A deep dive conference aout the ubiquitous programming language,C Seminars
C is everywhere but we just don’t see it. Join a seminar where we talk about how useful the C programming language is,C Seminars
Conferences and Seminars : How to C,C Seminars
Objective C : A comprehensive course,C Courses
Join our courses on C and learn a new skill!,C Courses
C is used in many applications. Sign up for the Udemy Interactive C course and learnits benefits,C Courses
Coursera is back with many new courses on C and Objective C programming languages. Sign up today!,C Courses
Get upto date with C and make yourself attractive to recruiters with our set of Courses,C Courses
Welcome to the international C Expo.,C Expos
Book your tickets for the Objective C fair,C Expos
Fairs & Expos : The Mivi CeeCon C Expo,C Expos
Come down on the weekend and experience a fair like no other. Be part of the C expo and interact with fellow enthusiasts,C Expos
Love C? Attend our Expo and learn all the ways C can be used today!,C Expos
Job Opening - Technical Leads - C at Larsen & Toubro Infratech,C Jobs
Project Manager Job - C ( Work from home option available ),C Jobs
Full Time Job Opening as a Senior Developer at L&T ,C Jobs
4741 C job openings in Mumbai via naukri.com,C Jobs
Full time work from home Objective C project lead needed,C Jobs 
Work Opportunity! An Advanced C developer needed for a full time in office job. Send in your resume today,C Jobs
Join us for a free C training bootcamp,C Trainings
Learn objective C with this new bootcamp,C Trainings
Trainings : Learn C with the CODEshastra C Training schedule,C Trainings
Just 2 hours a day! Sign up for our one week C specific training where you learn how to use C in many different areas from objective c to game dev,C Trainings
Don't be shy! Sign up for our C bootcamp and add this amazing language to your skillset,C Trainings
Internship opportunity at Maruti Enterprises - C development interns needed!,C Internships
Get in front of the pack by participating in our Internship Programme. Interns experienced in C required,C Internships
Internships - Multiple C programming internships available at internshala.com,C Internships
Get industry exposure by being an Intern with us. C language internships required. Work from home and Part time options available,C Internships
Internship C programming Opportunities available at 1more. Sign Up today!,C Internships
Think you know your C? Then join us for the annual C quiz competition,C Competitions
Multiple Competitions and quizzes available at the C Compete Event,C Competitions
Compete with your fellow C enthusiasts at the Cshast 2020,C Competitions
Annual CodeBase C competition is out now! Compete against fellow experts and stand a cahnce to win a prize,C Competitions
Talks and Speeches : Why is C as popular as it is?,C Talks
Attend a complimentary talk on the futre of C and if it is worth learning,C Talks
Attend a Speech by Hon. Subash Ghai on C and how it has been used to help in the film industry,C Talks
Talk Series : To See the Full Potential of C in the world of its competitors,C Talks
Sign up for a one of a kind talk on C and its benefits,C Talks
Attend this 3 day workshop on the C language,C Workshops
Don’t get lost in this vast C  Attend our workshop and learn this beautiful language,C Workshops
A comprehensive one week C workshop. Join Now!,C Workshops
Attend a host of workshops on C ,C Workshops
Workshops : Learn C in this comprehensive one month workshop by microsoft,C Workshops
Solve Complex Java Problems in the Hackerank Annual Hackathon,Java Hackathons
Join the Java Bean 2020 Hackathon and stand a chance to get your solution featured!,Java Hackathons
Hackathons and Codeathons : HackFinity Java Hackathon is here. Register soon before time runs out!,Java Hackathons
Join any one of our various hackathon events and show off your java skills,Java Hackathons
Join the JAVA Codeathon today!,Java Hackathons
Free webinar on the fundamentals of Java,Java Webinars
Learn Java with our Live Online Sessions with the top teachers,Java Webinars
Webinars : Introduction to Java by Prof. Anil Chaggani,Java Webinars
Join us online for a session on efficient java practices,Java Webinars
JOIN THE JAVA WEBINAR SERIES BY CODESHASTRA,Java Webinars
Oracle Java Celebration Fest 2020 is nearing,Java Fests
The CodeBoost Java Festival is out now!,Java Fests
Join us at the Mumbai annual Java Fest and win exciting prizes,Java Fests
Java Lovers festival coming soon. Get your tickets now!,Java Fests
Fests & more: Java Fest by OrBal begins in 5 days,Java Fests
Take part in one of our many java themed festivals throughout the year and get a chance to win a cash prize,Java Fests
4 Java Fests this Month! Attend them all!,Java Fests
Get an internationally recognized Java Proficiency certificate by Oracle,Java Certifications
Get Certified as an Expert Java Developer Today!,Java Certifications
Certifications : Java Intermediate level certifications available! Sign-up now ,Java Certifications
Become a certiied java expert today!,Java Certifications
Learn Java and get certified with our plethora of java certificates from beginner to advanced,Java Certifications
Take our Advanced Java certification and stand out from your peers,Java Certifications
Attend our Java Conference and interact with the best in the field,Java Seminars
The annual Oracle Java Seminar is here! Book your tickets now,Java Seminars
Conferences & Seminars : Learn why java runs on 3 billion devices.,Java Seminars
Attend our seminar on Java and its advantages in today's the world,Java Seminars
Java and The Internet : A comprehensive Seminar,Java Seminars
Java advanced course by Oracle,Java Courses
Learn java in 2 months with our comprehensive course,Java Courses
Find Java tough? Our expert teachers will tach you java in the easiest way possible. Join our course now,Java Courses
JavaWorld Advanced Java Course now at a 20% discount,Java Courses
Courses galore! Learn from our variety of java courses from beginner to advanced,Java Courses
Sign up for one of our java courses and learn at your convinience,Java Courses
Expos & Fairs : The Annual JavaWorld Java Fair,Java Expos
Come Down to the Oracle Java Fair in Mumbai this week!,Java Expos
CodeBoost Java Expo LA 2020!,Java Expos
Java Fair tickets out now! Book now to get yourself an extra discount,Java Expos
Come down to many one of our expos or fairs and experience the world of Java like never before!,Java Expos
Java Developer Job Opportunity - Core Java,Java Jobs
Full time Java developer jobs in mumbai,Java Jobs
Full Time Junior Java Excecutive Position at Oracle Inc ( Work from home available ),Java Jobs
Plethora of jobs Java jobs available at internshala.com. Avail both work from home and in office Jobs,Java Jobs
Trainings and Bootcamps: Welcome to the Java Comprehensive Training,Java Trainings
Sign up for the Advanced Java Training course and level up your skills,Java Trainings
Core Java Training from beginiing to end,Java Trainings
Join the oracle Java Bootcamp and become an expert in Core Java,Java Trainings
Unlock your java potential with our Java bootcamps,Java Trainings
Register for any one of our java bootcamps or trainings and stand above your peers,Java Trainings
Part time Java internship at TSEC Inc,Java Internships
Core Java Interns needed in Mumbai,Java Internships
Internships: Work from Java internships available,Java Internships
Part time Java Applet Expert Internship available,Java Internships
Interns Needed : Java Interns required at Oracle Foundation,Java Internships
Become a Java intern at Maruti Limited,Java Internships
Internship opportunity at Google for Java programmers,Java Internships
Top Coder Java Competition dates out! Register now,Java Competitions
Participate in the codLove java quiz and win a cash prize,Java Competitions
Java Quizes and other Competitions: Compete and stand a chance to win exciting prizes,Java Competitions
Compete in our Java Code Competition and get featured in our monthly magazine,Java Competitions
Participate and win in our host of java Competitions,Java Competitions
Compete in the bi-yearly Java Quiz!,Java Competitions
Participate in the 1more java competition and get recognized globally!,Java Competitions
Attend a talk by Dr. Vinod Sharma on the Benefits of Java,Java Talks
Speeches & talks: How to level up your java skills by Prof. Darakshan Khan,Java Talks
Talk on Java's deep rooted relation with other languages,Java Talks
Join our Java Talk series and hear what the experts have to say about Java,Java Talks
Java talks in Mumbai this week!,Java Talks
Attend Multiple Speeches on Java as part of our talk series,Java Talks
Attend a 3 day Java Workshop!,Java Workshops
Workshops and Events: Java 3 day workshop,Java Workshops
